date,mean_ndvi
2000-02-18,0.33706200243219825
2000-03-05,0.31321390057991816
2000-03-21,0.2969153221676483
2000-04-06,0.30084450251825645
2000-04-22,0.29035955604952374
2000-05-08,0.27931756765408283
2000-05-24,0.2670955166100327
2000-06-09,0.23539048319091416
2000-06-25,0.22400591048643442
2000-07-11,0.22493948060110303
2000-07-27,0.21416618234568569
2000-08-12,0.20957397343979137
2000-08-28,0.21716459863713328
2000-09-13,0.22279920211063367
2000-09-29,0.2275904267226914
2000-10-15,0.24231958758486075
2000-10-31,0.24269443565063217
2000-11-16,0.26816772049978665
2000-12-02,0.2785397246056581
2000-12-18,0.303700908625246
2001-01-01,0.28140728915920354
2001-01-17,0.30174022311841014
2001-02-02,0.34631831543047376
2001-02-18,0.34447749800710253
2001-03-06,0.3578845572071346
2001-03-22,0.3408778671606762
2001-04-07,0.30427393958912535
2001-04-23,0.26565286596522003
2001-05-09,0.24833411112533502
2001-05-25,0.22588836470058876
2001-06-10,0.2225576428277686
2001-06-26,0.20965485903569833
2001-07-12,0.19861928260165498
2001-07-28,0.2038439765648635
2001-08-13,0.21869304528121833
2001-08-29,0.22073714515722304
2001-09-14,0.22658055843334451
2001-09-30,0.22544101494066227
2001-10-16,0.21817341079031333
2001-11-01,0.2320781828516225
2001-11-17,0.22910834039878233
2001-12-03,0.2390782533352738
2001-12-19,0.27095484458637537
2002-01-01,0.28135890996677215
2002-01-17,0.29422701201944057
2002-02-02,0.30061895077667444
2002-02-18,0.3094543911794208
2002-03-06,0.3427814968851282
2002-03-22,0.3609311987475336
2002-04-07,0.3950300957783423
2002-04-23,0.37254293025971014
2002-05-09,0.3489445806965862
2002-05-25,0.2780698422950329
2002-06-10,0.24191469746334648
2002-06-26,0.23679478219215805
2002-07-04,0.22901846801594938
2002-07-12,0.2253030701711857
2002-07-20,0.2103235755108689
2002-07-28,0.2179979995461888
2002-08-05,0.22723994157616345
2002-08-13,0.2266676986482032
2002-08-21,0.23283339895344013
2002-08-29,0.24016039810393447
2002-09-06,0.23637954917587534
2002-09-14,0.23615871584731268
2002-09-22,0.23039460470582757
2002-09-30,0.23680863886987208
2002-10-08,0.24798970543435883
2002-10-16,0.24183597626868078
2002-10-24,0.2486217523924838
2002-11-01,0.24628778673941185
2002-11-09,0.2538718916139548
2002-11-17,0.27474992613271265
2002-11-25,0.2828947018209276
2002-12-03,0.2920384160767973
2002-12-11,0.34285866614658544
2002-12-19,0.35148038417136374
2002-12-27,0.34797012441127334
2003-01-01,0.3775008218014058
2003-01-09,0.3607158088306645
2003-01-17,0.39443063085966684
2003-01-25,0.38874215101900683
2003-02-02,0.4104327860710995
2003-02-10,0.42398281422228445
2003-02-18,0.4460139813134891
2003-02-26,0.44811729230840863
2003-03-06,0.4510973403749811
2003-03-14,0.4326671106378523
2003-03-22,0.4672217493264437
2003-03-30,0.4761362692702382
2003-04-07,0.45003477778402895
2003-04-15,0.44114962408640207
2003-04-23,0.4291498853500222
2003-05-01,0.36268805188810094
2003-05-09,0.3489158508416196
2003-05-17,0.31189889421397826
2003-05-25,0.28743585716557624
2003-06-02,0.2717470044509293
2003-06-10,0.26035687405453634
2003-06-18,0.25081351847721733
2003-06-26,0.24098646345034633
2003-07-04,0.23183334367702849
2003-07-12,0.2321087419347958
2003-07-20,0.2275045484694274
2003-07-28,0.23413110477971125
2003-08-05,0.238413334923988
2003-08-13,0.2411754564929697
2003-08-21,0.23478813724025974
2003-08-29,0.2321296092505998
2003-09-06,0.23270962797607508
2003-09-14,0.23699914547485673
2003-09-22,0.23647822409040753
2003-09-30,0.2439708674767979
2003-10-08,0.24474387453774304
2003-10-16,0.2585158211920659
2003-10-24,0.27168087086626724
2003-11-01,0.27451297641340094
2003-11-09,0.30294903752488644
2003-11-17,0.2996796208199381
2003-11-25,0.3075778338266236
2003-12-03,0.3219864894293418
2003-12-11,0.3401960026721353
2003-12-19,0.3513599110557474
2003-12-27,0.3652637573611213
2004-01-01,0.3701866571294358
2004-01-09,0.3692941407008254
2004-01-17,0.37916399420898494
2004-01-25,0.3698213643172593
2004-02-02,0.37557773080467577
2004-02-10,0.3735999130708123
2004-02-18,0.39666879900957225
2004-02-26,0.40356344260926774
2004-03-05,0.4143482271553589
2004-03-13,0.41230094025282843
2004-03-21,0.42410243234489226
2004-03-29,0.4104360084891091
2004-04-06,0.4033811210761462
2004-04-14,0.39269271283333573
2004-04-22,0.3762226343827357
2004-04-30,0.3492702555725209
2004-05-08,0.3467466664468607
2004-05-16,0.3301707401473389
2004-05-24,0.3245477315041076
2004-06-01,0.309150599185054
2004-06-09,0.2840884677076809
2004-06-17,0.27467160234988824
2004-06-25,0.25992480329849554
2004-07-03,0.2594379144354951
2004-07-11,0.25130986859076926
2004-07-19,0.25079685441156235
2004-07-27,0.24746890126668733
2004-08-04,0.24811792912000397
2004-08-12,0.24089519367457093
2004-08-20,0.23833585684336284
2004-08-28,0.24110334787187204
2004-09-05,0.2366879739814441
2004-09-13,0.2472163082228712
2004-09-21,0.24881831649923145
2004-09-29,0.2511726584675439
2004-10-07,0.25800563418273986
2004-10-15,0.24653045112198457
2004-10-23,0.27443088532299664
2004-10-31,0.30232381170506184
2004-11-08,0.31110430835525105
2004-11-16,0.3113423769414588
2004-11-24,0.34172304189064057
2004-12-02,0.35081669513866515
2004-12-10,0.3551045515771658
2004-12-18,0.3766486417380161
2004-12-26,0.3352264701026521
2005-01-01,0.3532880221381736
2005-01-09,0.37700861036808125
2005-01-17,0.37369858530848
2005-01-25,0.3697777182974479
